Place Name,State,Latitude,Longitude
Green Park,Delhi,28.558899,77.202805
Nilgiris District,Tamil Nadu,11.416667,76.683334
"Nage Layout, Kaulkhed, Akola",Maharashtra,20.67321,77.01281
Dahigaon Ne.,Maharashtra,19.511562,75.198494
Ambedkar Nagar,Uttar Pradesh,26.407057,82.397972
"Jothi Nagar, Pollachi",Tamil Nadu,10.638598,77.018883
"Janak Nagar, Saharanpur",Uttar Pradesh,29.957846,77.554115
"Vasna, Ahmedabad",Gujarat,23.003992,72.546074
"Woraiyur, Tiruchirappalli",Tamil Nadu,10.830512,78.682419
"Mauli Baidwan, Sahibzada Ajit Singh Nagar",Punjab,30.678722,76.722153
"Behala, Kolkata",West Bengal,22.49814,88.310837
"Ghasiara, Kolkata",West Bengal,22.441265,88.445572
"Vivekananda Pally, Behala, Kolkata",West Bengal,22.58959,88.461838
Kadhanga,Odisha,20.228069,86.26609
"Rajouri Garden, New Delhi",Delhi,28.641529,77.120918
"Putligarh, Amritsar",Punjab,31.632898,74.843208
"Mhasrul Gaon, Nashik",Maharashtra,20.046701,73.80777
Madhapur,Telangana,17.448294,78.391487
Jalalipatti,Uttar Pradesh,25.27994,82.9515
"Munshi Bazar, Asansol",West Bengal,23.690611,86.968666
"Sant Kabir Nagar, Nashik",Maharashtra,20.00647,73.751312
"Lokgram, Kalyan",Maharashtra,19.228762,73.126846
"Cooke Town, Bengaluru",Karnataka,13.003168,77.622826
"Egmore, Chennai",Tamil Nadu,13.073226,80.260918
"Maharaja Nagar, Tirunelveli",Tamil Nadu,8.707375,77.758698
"Kajoor, Chittoor",Andhra Pradesh,13.201411,79.082954
"Dayanand Nagar, Gorakhpur",Uttar Pradesh,26.791519,83.360237
"Loksahakar Nagar, Nashik",Maharashtra,20.015768,73.799309
"Amarjai, Fatehpur",Uttar Pradesh,25.926411,80.813599
Malakpet,Not Delhi,17.373093,78.490036
"Guindy, Chennai",Tamil Nadu,13.010236,80.215652
"Kalindipuram, Allahabad",Uttar Pradesh,25.430883,81.78791
"Arya Nagar, Bhilai, Chhattisgarh",Chhattisgarh,21.229767,81.335884
"Rajwanshi Nagar, Saharsa",Bihar,25.892298,86.598106
"Panchavati, Nashik",Maharashtra,20.007357,73.792992
Begumpet,Not Delhi,17.444708,78.466377
"Perungudi, Chennai",Tamil Nadu,12.965365,80.246109
"Ladakh, Jammu and Kashmir",Jammu and Kashmir,34.209515,77.615112
Mahe,Maharashtra,16.64012,74.145874
"Bindapur, New Delhi",Delhi,28.610722,77.065971
"Karkardooma, Anand Vihar",Delhi,28.652946,77.302284
"Rampur Garden, Bareilly",Uttar Pradesh,28.352783,79.423973
"Sudamdih, Pathardih",Jharkhand,23.67128,86.423401
"Neminagar, Damoh",Madhya Pradesh,23.820818,79.431709
"Memnagar, Ahmedabad",Gujarat,23.052553,72.53373
"Dilshad Garden, New Delhi",Delhi,28.683903,77.315094
"Eloor, Ernakulam",Kerala,10.073232,76.302765
"Nandanam, Chennai",Tamil Nadu,13.030105,80.241425
"Shivajinagar, Pune",Maharashtra,18.530823,73.847466
"Tathawade, Dattwadi",Maharashtra,18.627598,73.745491
"Dum Dum, Kolkata",West Bengal,22.647051,88.431686
"Telugu Peta, Nandyal",Andhra Pradesh,15.48872,78.485641
"Ramanand Nagar, Jalgaon",Maharashtra,20.996546,75.549385
"Alni, Osmanabad",Maharashtra,18.287081,76.007957
"Hanuman Wadi, Chalisgaon",Maharashtra,20.46493,75.006721
"Pudupalaiyam, Rajapalayam",Tamil Nadu,9.448815,77.557175
"Char Rasta, Ahmedabad",Gujarat,23.050339,72.632401
"Sion East, Dharavi, Mumbai",Maharashtra,19.035288,72.867119
"Shahr, Balapur",Maharashtra,20.672806,76.773361
Kalimali,Jharkhand,22.778872,86.227402
"Sidhgora, Jamshedpur",Jharkhand,22.804174,86.232056
"Karol Bagh, New Delhi",Delhi,28.661369,77.194405
"Khanji, Warora",Maharashtra,20.251728,79.010757
"Okhla I, Okhla Industrial Area, New Delhi",Delhi,28.525377,77.280106
Sanjeeva Reddy Nagar,Hyderabad,17.443649,78.445824
"Patel Nagar, Gurugram, Haryana",Haryana,28.460596,77.039597
"Hudcu, Savarkar Nagar, Manmad",Maharashtra,20.25153,74.426918
Badnera,Maharashtra,20.859764,77.736801
"Lajpat Nagar, New Delhi",Delhi,28.569271,77.24411
"Hampankatta, Mangaluru",Karnataka,12.872114,74.843407
"Krishnarajapura, Bengaluru",Karnataka,13.004725,77.687592
"Barkhedi, Bhopal",Madhya Pradesh,23.255404,77.414452
"Millat Colony, Rajgangpur",Odisha,22.19161,84.586693
"Aerocity, Indira Gandhi International Airport, New Delhi",Delhi,28.550421,77.121765
"Gandipuram, Coimbatore",Tamil Nadu,11.020983,76.966331
"Laxmipuram, Hanamkonda",Telagana,18.001408,79.567047
"Saraswathipura, Bengaluru",Karnataka,13.01039,77.5383
"Adarsh Colony, Bagru",Rajasthan,26.814882,75.545647
"Palarivattom, Kochi",Kerala,9.99848,76.311935
"Dayalpur, Tukhmirpur, New Delhi",Delhi,28.718573,77.261353
"Bemina, Srinagar",Jammu and Kashmir,34.078667,74.765587
"Shakarpur, New Delhi",Delhi,28.627949,77.278618
"Tatabad, Coimbatore, Tamil Nadu",Tamil Nadu,11.022312,76.960968
"Babu Purwa, Kanpur",Uttar Pradesh,26.437588,80.342735
Kommaghatta,Karnataka,12.921371,77.464462
"Civil Lines, Alka Puri Colony, Allahabad",Uttar Pradesh,25.459085,81.832695
"Piraman, Ankleshwar",Gujarat,21.617355,72.997627
"Ashok Puri, New Colony, Gurgaon, Haryana",Haryana,28.473103,77.020401
"Kanahi, Gurugram, Haryana",Haryana,28.451317,77.076584
"Gandhi Murti, Pali",Rajasthan,25.781073,73.330353
"Kydgang, Allahabad",Uttar Pradesh,25.432571,81.851311
"Dakshinpuri, New Delhi",Delhi,28.520741,77.239075
"Lingaraj Vihar, Pokhariput, Bhubaneswar",Odisha,20.2379,85.814705
"Kalikapur, Haltu, Kolkata",West Bengal,22.500914,88.394936
"Amarsinghpura, Bikaner",Rajasthan,28.03751,73.314865
"Kareli, Allahabad",Uttar Pradesh,25.428574,81.819588
"Hulimavu, Bengaluru",Karnataka,12.880505,77.608192
"Vasai East, Vasai",Maharashtra,19.393345,72.862427
"Sai Nagar, Amravati",Maharashtra,20.895115,77.729385
"Somanath Temple, Bapunagar, Ahmedabad ",Gujarat,23.036144,72.628151
"Lakshmipuram, Kempegowda Nagar, Bengaluru",Karnataka,12.947931,77.561226
Loni Dehat,Uttar Pradesh,28.758314,77.300537
"Shikshak Colony, Chalisgaon",Maharashtra,20.474583,74.998726
"Nekar Nagar, Hubballi",Karnataka,15.322364,75.125221
"Bagalakunte, Bengaluru",Karnataka,13.052682,77.495476
"Malleshpalya, Kaggadasapura, Bengaluru",Karnataka,12.975676,77.677849
"Golghar, Gorakhpur",Uttar Pradesh,26.751213,83.376266
"Ecco City, Bagru",Rajasthan,26.823713,75.540405
"Faizan Institute Of Computer Technology, Qaziyara, Sitapur",Uttar Pradesh,27.580564,80.677032
"Qaziyara, Sitapur",Uttar Pradesh,27.583118,80.67569
"Husainabad, Jaunpur",Uttar Pradesh,25.732555,82.692894
"Karkhana, Secunderabad",Hyderabad,17.461426,78.500069
"Duggal Farm, Sector 15 Dwarka, Dwarka",Delhi,28.613279,77.028557
"New Pawan Nagar, Pawan Nagar, Amritsar",Punjab,31.637186,74.895561
"Verka, Amritsar",Punjab,31.665501,74.929649
Nagole,Hyderabad,17.371473,78.569504
Ramanthapur,Hyderabad,17.39193,78.538376
"Sneha Nagar, Laxmi Nagar, Sillod",Maharashtra,20.301481,75.649536
"Thindal, Erode",Tamil Nadu,11.317164,77.676392
"Krishna Nagar, Sri Nagar, Raebareli",Uttar Pradesh,26.20746,81.253258
"Nana Varachha, Surat",Gujarat,21.230005,72.900902
Mansarovar,Rajasthan,26.850262,75.761726
"Kendupatna, Barang",Odisha,20.401421,85.842865
"Bedla, Udaipur",Rajasthan,24.646944,73.694824
"Lalaguda, Mettuguda, Secunderabad",Hyderabad,17.4366,78.521362
"Civil Lines, Betul",Madhya Pradesh,21.902008,77.907822
"Durga Nagar, Firozabad",Uttar Pradesh,27.156118,78.402428
"Brookefield, Bengaluru",Karnataka,12.973864,77.713768
"Professor Colony, Giridih",Jharkhand,24.194187,86.304192
"Kurla, Mumbai",Maharashtra,19.059984,72.889999
"Nayapalli, Bhubaneswar",Odisha,20.289898,85.810219
"Atladara, Vadodara",Gujarat,22.270041,73.149727
"Partap Sasan, Uttara",Odisha,20.202372,85.868217
"Lohara, Ludhiana",Punjab,30.845461,75.886803
"Infocity, Chandrasekharpur, Bhubaneswar",Odisha,20.344744,85.803818
"Kondalampatti, Salem",Tamil Nadu,11.634618,78.123848
"Medchal, Secunderabad",Hyderabad,17.630222,78.484215
"Karamganj, Darbhanga",Bihar,26.130026,85.892578
"Anand Nagar, Nanded",Maharashtra,19.174959,77.319305
"Ghantaghar, Ghaziabad",Uttar Pradesh,28.66177,77.425415
"Durga Nagar, Jabalpur",Madhya Pradesh,23.196329,79.948296
"Raviwar Peth, Pune",Maharashtra,18.517454,73.861244
"Rajendra Nagar, Khagaria",Bihar,25.513687,86.480019
"Harinayan Park, Isbavi, Pandharpur",Maharashtra,17.689329,75.303101
"Ishwar Nagar, Nagpur",Maharashtra,21.128143,79.125618
"Kasturi Park, Narendrapur, Kolkata",West Bengal,22.45153,88.399818
Peint,Maharashtra,20.264774,73.508148
"Ranip, Ahmedabad",Gujarat,23.080135,72.572174
"Telinipara, Bhadreswar",West Bengal,22.835373,88.360992
"Noori Market, Jaspur, Uttarakhand",Uttar Pradesh,29.280394,78.831718
"Muthuramalinga Puram, Madurai",Tamil Nadu,9.907271,78.094429
Holipura,Uttar Pradesh,26.90366,78.514259
"Kurla East, Mumbai",Maharashtra,19.062054,72.883438
"Super Nagar, Perambalur",Tamil Nadu,11.235264,78.858414
"Hatagarpet, Koppal",Karnataka,15.346634,76.151489
"Chimmipwara, Deoband",Uttar Pradesh,29.692122,77.680321
