Place Name,State,Latitude,Longitude
Green Park,Delhi,28.558899,77.202805
"Nilgiris District, Thamil Nadu",Not Delhi,11.416667,76.683334
"Nage Layout, Kaulkhed, Akola, Maharashtra",Not Delhi,20.673210,77.012810
"Dahigaon Ne., Maharashtra",Not Delhi,19.511562,75.198494
"Ambedkar Nagar, Uttar Pradesh",Not Delhi,26.407057,82.397972
"Jothi Nagar, Pollachi, Tamil Nadu",Not Delhi,10.638598,77.018883
"Janak Nagar, Saharanpur, Uttar Pradesh",Not Delhi,29.957846,77.554115
"Vasna, Ahmedabad, Gujarat",Not Delhi,23.003992,72.546074
"Woraiyur, Tiruchirappalli, Tamil Nadu",Not Delhi,10.830512,78.682419
"Mauli Baidwan, Sahibzada Ajit Singh Nagar, Punjab",Not Delhi,30.678722,76.722153
"Behala, Kolkata, West Bengal",Not Delhi,22.498140,88.310837
"Ghasiara, Kolkata, West Bengal",Not Delhi,22.441265,88.445572
"Vivekananda Pally, Behala, Kolkata, West Bengal",Not Delhi,22.589590,88.461838
"Kadhanga, Odisha",Not Delhi,20.228069,86.266090
"Rajouri Garden, New Delhi",Delhi,28.641529,77.120918
"Putligarh, Amritsar, Punjab",Not Delhi,31.632898,74.843208
"Mhasrul Gaon, Nashik, Maharashtra",Not Delhi,20.046701,73.807770
"Madhapur, Hyderabad, Telangana",Not Delhi,17.448294,78.391487
"Jalalipatti, Uttar Pradesh",Not Delhi,25.279940,82.951500
"Munshi Bazar, Asansol, West Bengal",Not Delhi,23.690611,86.968666
"Sant Kabir Nagar, Nashik, Maharashtra",Not Delhi,20.006470,73.751312
"Lokgram, Kalyan, Maharashtra",Not Delhi,19.228762,73.126846
"Cooke Town, Bengaluru, Karnataka",Not Delhi,13.003168,77.622826
"Egmore, Chennai, Tamil Nadu",Not Delhi,13.073226,80.260918
"Maharaja Nagar, Tirunelveli, Tamil Nadu",Not Delhi,8.707375,77.758698
"Kajoor, Chittoor, Andhra Pradesh",Not Delhi,13.201411,79.082954
"Dayanand Nagar, Gorakhpur, Uttar Pradesh",Not Delhi,26.791519,83.360237
"Loksahakar Nagar, Nashik, Maharashtra",Not Delhi,20.015768,73.799309
"Amarjai, Fatehpur, Uttar Pradesh",Not Delhi,25.926411,80.813599
"Malakpet, Hyderabad, Telangana",Not Delhi,17.373093,78.490036
"Guindy, Chennai, Tamil Nadu",Not Delhi,13.010236,80.215652
"Kalindipuram, Allahabad, Uttar Pradesh",Not Delhi,25.430883,81.787910
"Arya Nagar, Bhilai, Chhattisgarh",Not Delhi,21.229767,81.335884
"Rajwanshi Nagar, Saharsa, Bihar",Not Delhi,25.892298,86.598106
"Panchavati, Nashik, Maharashtra",Not Delhi,20.007357,73.792992
"Begumpet, Hyderabad, Telangana",Not Delhi,17.444708,78.466377
"Perungudi, Chennai, Tamil Nadu",Not Delhi,12.965365,80.246109
"Ladakh, Jammu and Kashmir",Not Delhi,34.209515,77.615112
"Mahe, Maharashtra",Not Delhi,16.640120,74.145874
"Bindapur, New Delhi",Delhi,28.610722,77.065971
"Karkardooma, Anand Vihar",Delhi,28.652946,77.302284
"Rampur Garden, Bareilly, Uttar Pradesh",Not Delhi,28.352783,79.423973
"Sudamdih, Pathardih, Jharkhand",Not Delhi,23.671280,86.423401
"Neminagar, Damoh, Madhya Pradesh",Not Delhi,23.820818,79.431709
"Memnagar, Ahmedabad, Gujarat",Not Delhi,23.052553,72.533730
"Dilshad Garden, New Delhi",Delhi,28.683903,77.315094
"Eloor, Ernakulam, Kerala",Not Delhi,10.073232,76.302765
"Nandanam, Chennai, Tamil Nadu",Not Delhi,13.030105,80.241425
"Shivajinagar, Pune, Maharashtra",Not Delhi,18.530823,73.847466
"Tathawade, Dattwadi, Maharashtra",Not Delhi,18.627598,73.745491
"Dum Dum, Kolkata, West Bengal",Not Delhi,22.647051,88.431686
"Telugu Peta, Nandyal, Andhra Pradesh",Not Delhi,15.488720,78.485641
"Ramanand Nagar, Jalgaon, Maharashtra",Not Delhi,20.996546,75.549385
"Alni, Osmanabad, Maharashtra",Not Delhi,18.287081,76.007957
"Hanuman Wadi, Chalisgaon, Maharashtra",Not Delhi,20.464930,75.006721
"Pudupalaiyam, Rajapalayam, Tamil Nadu",Not Delhi,9.448815,77.557175
"Char Rasta, Ahmedabad, Gujarat",Not Delhi,23.050339,72.632401
"Sion East, Dharavi, Mumbai, Maharashtra",Not Delhi,19.035288,72.867119
"Shahr, Balapur, Maharashtra",Not Delhi,20.672806,76.773361
"Kalimali, Jharkhand",Not Delhi,22.778872,86.227402
"Sidhgora, Jamshedpur, Jharkhand",Not Delhi,22.804174,86.232056
"Karol Bagh, New Delhi",Delhi,28.661369,77.194405
"Khanji, Warora, Maharashtra",Not Delhi,20.251728,79.010757
"Okhla I, Okhla Industrial Area, New Delhi",Delhi,28.525377,77.280106
"Sanjeeva Reddy Nagar, Hyderabad, Telangana",Not Delhi,17.443649,78.445824
"Patel Nagar, Gurugram, Haryana",Not Delhi,28.460596,77.039597
"Hudcu, Savarkar Nagar, Manmad, Maharashtra",Not Delhi,20.251530,74.426918
"Badnera, Maharashtra",Not Delhi,20.859764,77.736801
"Lajpat Nagar, New Delhi",Delhi,28.569271,77.244110
"Hampankatta, Mangaluru, Karnataka",Not Delhi,12.872114,74.843407
"Krishnarajapura, Bengaluru, Karnataka",Not Delhi,13.004725,77.687592
"Barkhedi, Bhopal, Madhya Pradesh",Not Delhi,23.255404,77.414452
"Millat Colony, Rajgangpur, Odisha",Not Delhi,22.191610,84.586693
"Aerocity, Indira Gandhi International Airport, New Delhi",Delhi,28.550421,77.121765
"Gandipuram, Coimbatore, Tamil Nadu",Not Delhi,11.020983,76.966331
"Laxmipuram, Hanamkonda, Telagana",Not Delhi,18.001408,79.567047
"Saraswathipura, Bengaluru, Karnataka",Not Delhi,13.010390,77.538300
"Adarsh Colony, Bagru, Rajasthan",Not Delhi,26.814882,75.545647
"Palarivattom, Kochi, Kerala",Not Delhi,9.998480,76.311935
"Dayalpur, Tukhmirpur, New Delhi",Delhi,28.718573,77.261353
"Bemina, Srinagar",Not Delhi,34.078667,74.765587
"Shakarpur, New Delhi",Delhi,28.627949,77.278618
"Tatabad, Coimbatore, Tamil Nadu",Not Delhi,11.022312,76.960968
"Babu Purwa, Kanpur, Uttar Pradesh",Not Delhi,26.437588,80.342735
"Kommaghatta, Karnataka",Not Delhi,12.921371,77.464462
"Civil Lines, Alka Puri Colony, Allahabad, Uttar Pradesh",Not Delhi,25.459085,81.832695
"Piraman, Ankleshwar, Gujarat",Not Delhi,21.617355,72.997627
"Ashok Puri, New Colony, Gurgaon, Haryana",Not Delhi,28.473103,77.020401
"Kanahi, Gurugram, Haryana",Not Delhi,28.451317,77.076584
"Gandhi Murti, Pali, Rajasthan",Not Delhi,25.781073,73.330353
"Kydgang, Allahabad, Uttar Pradesh",Not Delhi,25.432571,81.851311
"Dakshinpuri, New Delhi",Delhi,28.520741,77.239075
"Lingaraj Vihar, Pokhariput, Bhubaneswar, Odisha",Not Delhi,20.237900,85.814705
"Kalikapur, Haltu, Kolkata, West Bengal",Not Delhi,22.500914,88.394936
"Amarsinghpura, Bikaner, Rajasthan",Not Delhi,28.037510,73.314865
"Kareli, Allahabad, Uttar Pradesh",Not Delhi,25.428574,81.819588
"Hulimavu, Bengaluru, Karnataka",Not Delhi,12.880505,77.608192
"Vasai East, Vasai, Maharashtra",Not Delhi,19.393345,72.862427
"Sai Nagar, Amravati, Maharashtra",Not Delhi,20.895115,77.729385
"Somanath Temple, Bapunagar, Ahmedabad, Gujarat ",Not Delhi,23.036144,72.628151
"Lakshmipuram, Kempegowda Nagar, Bengaluru, Karnataka",Not Delhi,12.947931,77.561226
"Loni Dehat, Uttar Pradesh",Not Delhi,28.758314,77.300537
"Shikshak Colony, Chalisgaon, Maharashtra",Not Delhi,20.474583,74.998726
"Nekar Nagar, Hubballi, Karnataka",Not Delhi,15.322364,75.125221
"Bagalakunte, Bengaluru, Karnataka",Not Delhi,13.052682,77.495476
"Malleshpalya, Kaggadasapura, Bengaluru, Karnataka",Not Delhi,12.975676,77.677849
"Golghar, Gorakhpur, Uttar Pradesh",Not Delhi,26.751213,83.376266
"Ecco City, Bagru, Rajasthan",Not Delhi,26.823713,75.540405
"Faizan Institute Of Computer Technology, Qaziyara, Sitapur, Uttar Pradesh",Not Delhi,27.580564,80.677032
"Qaziyara, Sitapur, Uttar Pradesh",Not Delhi,27.583118,80.675690
"Husainabad, Jaunpur, Uttar Pradesh",Not Delhi,25.732555,82.692894
"Karkhana, Secunderabad, Telangana",Not Delhi,17.461426,78.500069
"Duggal Farm, Sector 15 Dwarka, Dwarka",Delhi,28.613279,77.028557
"New Pawan Nagar, Pawan Nagar, Amritsar, Punjab",Not Delhi,31.637186,74.895561
"Verka, Amritsar, Punjab",Not Delhi,31.665501,74.929649
"Nagole, Hyderabad, Telangana",Not Delhi,17.371473,78.569504
"Ramanthapur, Hyderabad, Telangana",Not Delhi,17.391930,78.538376
"Sneha Nagar, Laxmi Nagar, Sillod, Maharashtra",Not Delhi,20.301481,75.649536
"Thindal, Erode, Tamil Nadu",Not Delhi,11.317164,77.676392
"Krishna Nagar, Sri Nagar, Raebareli, Uttar Pradesh",Not Delhi,26.207460,81.253258
"Nana Varachha, Surat, Gujarat",Not Delhi,21.230005,72.900902
"Mansarovar, Rajasthan",Not Delhi,26.850262,75.761726
"Kendupatna, Barang, Odisha",Not Delhi,20.401421,85.842865
"Bedla, Udaipur, Rajasthan",Not Delhi,24.646944,73.694824
"Lalaguda, Mettuguda, Secunderabad, Telangana",Not Delhi,17.436600,78.521362
"Civil Lines, Betul, Madhya Pradesh",Not Delhi,21.902008,77.907822
"Durga Nagar, Firozabad, Uttar Pradesh",Not Delhi,27.156118,78.402428
"Brookefield, Bengaluru, Karnataka",Not Delhi,12.973864,77.713768
"Professor Colony, Giridih, Jharkhand",Not Delhi,24.194187,86.304192
"Kurla, Mumbai, Maharashtra",Not Delhi,19.059984,72.889999
"Nayapalli, Bhubaneswar, Odisha",Not Delhi,20.289898,85.810219
"Atladara, Vadodara, Gujarat",Not Delhi,22.270041,73.149727
"Partap Sasan, Uttara, Odisha",Not Delhi,20.202372,85.868217
"Lohara, Ludhiana, Punjab",Not Delhi,30.845461,75.886803
"Infocity, Chandrasekharpur, Bhubaneswar, Odisha",Not Delhi,20.344744,85.803818
"Kondalampatti, Salem, Tamil Nadu",Not Delhi,11.634618,78.123848
"Medchal, Secunderabad, Telangana",Not Delhi,17.630222,78.484215
"Karamganj, Darbhanga, Bihar",Not Delhi,26.130026,85.892578
"Anand Nagar, Nanded, Maharashtra",Not Delhi,19.174959,77.319305
"Ghantaghar, Ghaziabad, Uttar Pradesh",Not Delhi,28.661770,77.425415
"Durga Nagar, Jabalpur, Madhya Pradesh",Not Delhi,23.196329,79.948296
"Raviwar Peth, Pune, Maharashtra",Not Delhi,18.517454,73.861244
"Rajendra Nagar, Khagaria, Bihar",Not Delhi,25.513687,86.480019
"Harinayan Park, Isbavi, Pandharpur, Maharashtra",Not Delhi,17.689329,75.303101
"Ishwar Nagar, Nagpur, Maharashtra",Not Delhi,21.128143,79.125618
"Kasturi Park, Narendrapur, Kolkata, West Bengal",Not Delhi,22.451530,88.399818
"Peint, Maharashtra",Not Delhi,20.264774,73.508148
"Ranip, Ahmedabad, Gujarat",Not Delhi,23.080135,72.572174
"Telinipara, Bhadreswar, West Bengal",Not Delhi,22.835373,88.360992
"Noori Market, Jaspur, Uttarakhand",Not Delhi,29.280394,78.831718
